GP,Year,Driver,Team,DriverPointsBefore,TeamPointsBefore,DriverRecentForm,TeamRecentForm,QualifyingTime (s),AvgRaceTime (s),StartPosition,EndPosition
Austrian Grand Prix,2018,SAI,Renault,28.0,62.0,8.666666666666666,8.333333333333334,64.725,71.06452173913044,9.0,12.0
Austrian Grand Prix,2018,SIR,Williams,0.0,4.0,16.0,17.333333333333332,65.322,71.62763235294118,17.0,13.0
Austrian Grand Prix,2018,STR,Williams,4.0,4.0,18.0,17.333333333333332,65.286,71.5492794117647,14.0,14.0
Austrian Grand Prix,2018,VAN,McLaren,8.0,40.0,14.0,15.333333333333334,65.271,72.42578125,15.0,15.0
Austrian Grand Prix,2018,HAM,Mercedes,145.0,237.0,3.0,4.333333333333333,63.149,69.87947540983606,2.0,16.0
Austrian Grand Prix,2018,HAR,Toro Rosso,1.0,19.0,17.333333333333332,17.666666666666668,65.366,71.54047169811321,19.0,17.0
Austrian Grand Prix,2018,RIC,Red Bull Racing,96.0,164.0,3.0,3.3333333333333335,63.996,70.15303846153846,7.0,18.0
Austrian Grand Prix,2018,BOT,Mercedes,92.0,237.0,4.666666666666667,4.333333333333333,63.13,69.45441666666666,1.0,19.0
Austrian Grand Prix,2018,HUL,Renault,34.0,62.0,8.0,8.333333333333334,65.019,71.2002,10.0,20.0
British Grand Prix,2018,VET,Ferrari,146.0,247.0,3.0,3.3333333333333335,85.936,97.91152083333333,2.0,1.0
British Grand Prix,2018,HAM,Mercedes,145.0,237.0,7.333333333333333,14.0,85.892,100.85194117647058,1.0,2.0
British Grand Prix,2018,RAI,Ferrari,101.0,247.0,3.6666666666666665,3.3333333333333335,85.99,101.04739215686276,3.0,3.0
British Grand Prix,2018,BOT,Mercedes,92.0,237.0,9.333333333333334,14.0,86.217,100.23486000000001,4.0,4.0
British Grand Prix,2018,RIC,Red Bull Racing,96.0,189.0,8.666666666666666,7.666666666666667,87.099,101.14707843137255,6.0,5.0
British Grand Prix,2018,HUL,Renault,34.0,62.0,12.0,13.666666666666666,87.901,101.49421568627452,11.0,6.0
British Grand Prix,2018,OCO,Force India,19.0,42.0,11.333333333333334,10.666666666666666,88.194,101.50009803921569,10.0,7.0
British Grand Prix,2018,ALO,McLaren,36.0,44.0,14.0,13.0,88.139,101.47472549019608,13.0,8.0
British Grand Prix,2018,MAG,Haas F1 Team,37.0,49.0,8.0,6.666666666666667,87.244,101.532,7.0,9.0
British Grand Prix,2018,PER,Force India,23.0,42.0,13.0,10.666666666666666,87.928,101.30741176470588,12.0,10.0
British Grand Prix,2018,VAN,McLaren,8.0,44.0,14.333333333333334,13.0,89.096,101.67988,17.0,11.0
British Grand Prix,2018,STR,Williams,4.0,4.0,17.0,14.666666666666666,87.55633333333333,101.54594117647059,19.0,12.0
British Grand Prix,2018,GAS,Toro Rosso,18.0,19.0,14.0,16.0,88.343,101.52511764705882,14.0,13.0
British Grand Prix,2018,SIR,Williams,0.0,4.0,15.0,14.666666666666666,89.252,101.76231372549019,18.0,14.0
British Grand Prix,2018,VER,Red Bull Racing,93.0,189.0,2.0,7.666666666666667,86.602,102.70486666666667,5.0,15.0
British Grand Prix,2018,GRO,Haas F1 Team,12.0,49.0,9.0,6.666666666666667,87.455,100.29627777777779,8.0,16.0
British Grand Prix,2018,SAI,Renault,28.0,62.0,9.333333333333334,13.666666666666666,88.456,100.37816666666667,16.0,17.0
British Grand Prix,2018,ERI,Sauber,3.0,16.0,12.666666666666666,10.666666666666666,88.391,96.23033333333333,15.0,18.0
British Grand Prix,2018,LEC,Sauber,13.0,16.0,9.666666666666666,10.666666666666666,87.879,95.54323529411765,9.0,19.0
British Grand Prix,2018,HAR,Toro Rosso,1.0,19.0,16.666666666666668,16.0,87.55633333333333,,0.0,20.0
German Grand Prix,2018,HAM,Mercedes,163.0,267.0,6.333333333333333,8.333333333333334,73.012,82.7240303030303,14.0,1.0
German Grand Prix,2018,BOT,Mercedes,104.0,267.0,10.0,8.333333333333334,71.416,82.91527272727274,2.0,2.0
German Grand Prix,2018,RAI,Ferrari,116.0,287.0,2.6666666666666665,2.3333333333333335,71.547,82.92818181818183,3.0,3.0
German Grand Prix,2018,VER,Red Bull Racing,93.0,199.0,6.0,12.666666666666666,71.822,82.93053030303031,4.0,4.0
German Grand Prix,2018,HUL,Renault,42.0,70.0,11.666666666666666,14.333333333333334,72.56,83.18351515151515,7.0,5.0
German Grand Prix,2018,GRO,Haas F1 Team,12.0,51.0,10.333333333333334,10.0,72.544,83.20874242424243,6.0,6.0
German Grand Prix,2018,PER,Force India,24.0,49.0,11.666666666666666,8.0,72.774,83.22607575757576,10.0,7.0
German Grand Prix,2018,OCO,Force India,25.0,49.0,10.666666666666666,8.0,73.72,83.2069696969697,15.0,8.0
